Epoch 1/200, training Loss: 0.4280 Acc: 0.8938, validation Loss: 0.3952 Acc: 0.9297, Time 0m 58s
Epoch 2/200, training Loss: 0.4298 Acc: 0.8932, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 3/200, training Loss: 0.4335 Acc: 0.8834, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 4/200, training Loss: 0.4387 Acc: 0.8762, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 5/200, training Loss: 0.4307 Acc: 0.8821, validation Loss: 0.3948 Acc: 0.9297, Time 0m 58s
Epoch 6/200, training Loss: 0.4297 Acc: 0.8951, validation Loss: 0.3949 Acc: 0.9323, Time 0m 58s
Epoch 7/200, training Loss: 0.4290 Acc: 0.8984, validation Loss: 0.3955 Acc: 0.9323, Time 0m 58s
Epoch 8/200, training Loss: 0.4342 Acc: 0.8808, validation Loss: 0.3947 Acc: 0.9323, Time 0m 58s
Epoch 9/200, training Loss: 0.4301 Acc: 0.8886, validation Loss: 0.3943 Acc: 0.9297, Time 0m 58s
Epoch 10/200, training Loss: 0.4329 Acc: 0.8853, validation Loss: 0.3946 Acc: 0.9297, Time 0m 58s
Epoch 11/200, training Loss: 0.4364 Acc: 0.8788, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 12/200, training Loss: 0.4334 Acc: 0.8801, validation Loss: 0.3949 Acc: 0.9323, Time 0m 58s
Epoch 13/200, training Loss: 0.4376 Acc: 0.8775, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 14/200, training Loss: 0.4249 Acc: 0.8997, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 15/200, training Loss: 0.4359 Acc: 0.8775, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 16/200, training Loss: 0.4348 Acc: 0.8814, validation Loss: 0.3951 Acc: 0.9323, Time 0m 57s
Epoch 17/200, training Loss: 0.4339 Acc: 0.8847, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 18/200, training Loss: 0.4385 Acc: 0.8788, validation Loss: 0.3945 Acc: 0.9297, Time 0m 58s
Epoch 19/200, training Loss: 0.4321 Acc: 0.8821, validation Loss: 0.3939 Acc: 0.9297, Time 0m 58s
Epoch 20/200, training Loss: 0.4324 Acc: 0.8886, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 21/200, training Loss: 0.4348 Acc: 0.8795, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 22/200, training Loss: 0.4344 Acc: 0.8827, validation Loss: 0.3945 Acc: 0.9297, Time 0m 58s
Epoch 23/200, training Loss: 0.4296 Acc: 0.8925, validation Loss: 0.3946 Acc: 0.9323, Time 0m 58s
Epoch 24/200, training Loss: 0.4293 Acc: 0.8873, validation Loss: 0.3946 Acc: 0.9297, Time 0m 58s
Epoch 25/200, training Loss: 0.4281 Acc: 0.8853, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 26/200, training Loss: 0.4333 Acc: 0.8821, validation Loss: 0.3943 Acc: 0.9297, Time 0m 58s
Epoch 27/200, training Loss: 0.4337 Acc: 0.8860, validation Loss: 0.3949 Acc: 0.9323, Time 0m 57s
Epoch 28/200, training Loss: 0.4263 Acc: 0.8932, validation Loss: 0.3945 Acc: 0.9297, Time 0m 58s
Epoch 29/200, training Loss: 0.4334 Acc: 0.8853, validation Loss: 0.3946 Acc: 0.9323, Time 0m 58s
Epoch 30/200, training Loss: 0.4438 Acc: 0.8736, validation Loss: 0.3944 Acc: 0.9323, Time 0m 58s
Epoch 31/200, training Loss: 0.4279 Acc: 0.8893, validation Loss: 0.3941 Acc: 0.9297, Time 0m 58s
Epoch 32/200, training Loss: 0.4313 Acc: 0.8866, validation Loss: 0.3940 Acc: 0.9297, Time 0m 58s
Epoch 33/200, training Loss: 0.4256 Acc: 0.8906, validation Loss: 0.3949 Acc: 0.9297, Time 0m 58s
Epoch 34/200, training Loss: 0.4316 Acc: 0.8834, validation Loss: 0.3952 Acc: 0.9323, Time 0m 58s
Epoch 35/200, training Loss: 0.4311 Acc: 0.8814, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 36/200, training Loss: 0.4326 Acc: 0.8893, validation Loss: 0.3947 Acc: 0.9297, Time 0m 58s
Epoch 37/200, training Loss: 0.4323 Acc: 0.8879, validation Loss: 0.3943 Acc: 0.9297, Time 0m 58s
Epoch 38/200, training Loss: 0.4350 Acc: 0.8808, validation Loss: 0.3947 Acc: 0.9323, Time 0m 58s
Epoch 39/200, training Loss: 0.4382 Acc: 0.8749, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 40/200, training Loss: 0.4297 Acc: 0.8899, validation Loss: 0.3943 Acc: 0.9297, Time 0m 58s
Epoch 41/200, training Loss: 0.4370 Acc: 0.8788, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 42/200, training Loss: 0.4425 Acc: 0.8658, validation Loss: 0.3945 Acc: 0.9297, Time 0m 58s
Epoch 43/200, training Loss: 0.4312 Acc: 0.8879, validation Loss: 0.3952 Acc: 0.9323, Time 0m 58s
Epoch 44/200, training Loss: 0.4316 Acc: 0.8866, validation Loss: 0.3942 Acc: 0.9297, Time 0m 58s
Epoch 45/200, training Loss: 0.4329 Acc: 0.8827, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 46/200, training Loss: 0.4412 Acc: 0.8762, validation Loss: 0.3950 Acc: 0.9323, Time 0m 58s
Epoch 47/200, training Loss: 0.4310 Acc: 0.8814, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 48/200, training Loss: 0.4310 Acc: 0.8893, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 49/200, training Loss: 0.4326 Acc: 0.8853, validation Loss: 0.3961 Acc: 0.9323, Time 0m 58s
Epoch 50/200, training Loss: 0.4303 Acc: 0.8866, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 51/200, training Loss: 0.4318 Acc: 0.8853, validation Loss: 0.3941 Acc: 0.9297, Time 0m 58s
Epoch 52/200, training Loss: 0.4302 Acc: 0.8886, validation Loss: 0.3950 Acc: 0.9323, Time 0m 58s
Epoch 53/200, training Loss: 0.4302 Acc: 0.8925, validation Loss: 0.3945 Acc: 0.9323, Time 0m 58s
Epoch 54/200, training Loss: 0.4339 Acc: 0.8834, validation Loss: 0.3956 Acc: 0.9323, Time 0m 58s
Epoch 55/200, training Loss: 0.4264 Acc: 0.8886, validation Loss: 0.3957 Acc: 0.9323, Time 0m 58s
Epoch 56/200, training Loss: 0.4320 Acc: 0.8873, validation Loss: 0.3949 Acc: 0.9323, Time 0m 58s
Epoch 57/200, training Loss: 0.4348 Acc: 0.8788, validation Loss: 0.3960 Acc: 0.9323, Time 0m 58s
Epoch 58/200, training Loss: 0.4264 Acc: 0.8990, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 59/200, training Loss: 0.4310 Acc: 0.8840, validation Loss: 0.3957 Acc: 0.9323, Time 0m 58s
Epoch 60/200, training Loss: 0.4301 Acc: 0.8873, validation Loss: 0.3950 Acc: 0.9323, Time 0m 58s
Epoch 61/200, training Loss: 0.4301 Acc: 0.8893, validation Loss: 0.3952 Acc: 0.9323, Time 0m 58s
Epoch 62/200, training Loss: 0.4336 Acc: 0.8853, validation Loss: 0.3950 Acc: 0.9323, Time 0m 58s
Epoch 63/200, training Loss: 0.4316 Acc: 0.8873, validation Loss: 0.3947 Acc: 0.9323, Time 0m 58s
Epoch 64/200, training Loss: 0.4441 Acc: 0.8736, validation Loss: 0.3938 Acc: 0.9297, Time 0m 58s
Epoch 65/200, training Loss: 0.4313 Acc: 0.8879, validation Loss: 0.3943 Acc: 0.9297, Time 0m 58s
Epoch 66/200, training Loss: 0.4334 Acc: 0.8840, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 67/200, training Loss: 0.4360 Acc: 0.8749, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
Epoch 68/200, training Loss: 0.4351 Acc: 0.8840, validation Loss: 0.3954 Acc: 0.9323, Time 0m 58s
Epoch 69/200, training Loss: 0.4350 Acc: 0.8801, validation Loss: 0.3953 Acc: 0.9323, Time 0m 58s
Epoch 70/200, training Loss: 0.4293 Acc: 0.8886, validation Loss: 0.3945 Acc: 0.9297, Time 0m 58s
Epoch 71/200, training Loss: 0.4334 Acc: 0.8879, validation Loss: 0.3950 Acc: 0.9323, Time 0m 58s
Epoch 72/200, training Loss: 0.4317 Acc: 0.8886, validation Loss: 0.3944 Acc: 0.9297, Time 0m 58s
Epoch 73/200, training Loss: 0.4299 Acc: 0.8906, validation Loss: 0.3948 Acc: 0.9323, Time 0m 58s
Epoch 74/200, training Loss: 0.4340 Acc: 0.8847, validation Loss: 0.3952 Acc: 0.9323, Time 0m 58s
Epoch 75/200, training Loss: 0.4346 Acc: 0.8814, validation Loss: 0.3949 Acc: 0.9323, Time 0m 58s
Epoch 76/200, training Loss: 0.4274 Acc: 0.8951, validation Loss: 0.3954 Acc: 0.9323, Time 0m 58s
Epoch 77/200, training Loss: 0.4367 Acc: 0.8788, validation Loss: 0.3945 Acc: 0.9323, Time 0m 58s
Epoch 78/200, training Loss: 0.4343 Acc: 0.8821, validation Loss: 0.3950 Acc: 0.9323, Time 0m 58s
Epoch 79/200, training Loss: 0.4345 Acc: 0.8808, validation Loss: 0.3956 Acc: 0.9323, Time 0m 58s
Epoch 80/200, training Loss: 0.4298 Acc: 0.8893, validation Loss: 0.3951 Acc: 0.9323, Time 0m 58s
