Epoch 1/200, training Loss: 0.3493 Acc: 0.9629, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 2/200, training Loss: 0.3479 Acc: 0.9648, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 3/200, training Loss: 0.3497 Acc: 0.9629, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 4/200, training Loss: 0.3530 Acc: 0.9590, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 5/200, training Loss: 0.3513 Acc: 0.9603, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 6/200, training Loss: 0.3517 Acc: 0.9590, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 7/200, training Loss: 0.3481 Acc: 0.9635, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 8/200, training Loss: 0.3475 Acc: 0.9655, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 9/200, training Loss: 0.3502 Acc: 0.9603, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 10/200, training Loss: 0.3524 Acc: 0.9596, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 11/200, training Loss: 0.3480 Acc: 0.9642, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 12/200, training Loss: 0.3499 Acc: 0.9622, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 13/200, training Loss: 0.3511 Acc: 0.9616, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 14/200, training Loss: 0.3463 Acc: 0.9661, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 15/200, training Loss: 0.3485 Acc: 0.9635, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 16/200, training Loss: 0.3509 Acc: 0.9616, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 17/200, training Loss: 0.3500 Acc: 0.9642, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 18/200, training Loss: 0.3503 Acc: 0.9629, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 19/200, training Loss: 0.3479 Acc: 0.9648, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 20/200, training Loss: 0.3472 Acc: 0.9648, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 21/200, training Loss: 0.3524 Acc: 0.9596, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 22/200, training Loss: 0.3525 Acc: 0.9603, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 23/200, training Loss: 0.3553 Acc: 0.9551, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 24/200, training Loss: 0.3532 Acc: 0.9570, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 25/200, training Loss: 0.3496 Acc: 0.9642, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 26/200, training Loss: 0.3477 Acc: 0.9642, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 27/200, training Loss: 0.3508 Acc: 0.9622, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 28/200, training Loss: 0.3521 Acc: 0.9596, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 29/200, training Loss: 0.3524 Acc: 0.9590, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 30/200, training Loss: 0.3468 Acc: 0.9674, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 31/200, training Loss: 0.3521 Acc: 0.9609, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
Epoch 32/200, training Loss: 0.3479 Acc: 0.9655, validation Loss: 0.3185 Acc: 0.9948, Time 0m 59s
