Epoch 1/200, training Loss: 0.3535 Acc: 0.9596, validation Loss: 0.3211 Acc: 0.9922, Time 0m 59s
Epoch 2/200, training Loss: 0.3479 Acc: 0.9648, validation Loss: 0.3211 Acc: 0.9922, Time 0m 59s
Epoch 3/200, training Loss: 0.3510 Acc: 0.9622, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 4/200, training Loss: 0.3531 Acc: 0.9590, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 5/200, training Loss: 0.3507 Acc: 0.9609, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 6/200, training Loss: 0.3506 Acc: 0.9622, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 7/200, training Loss: 0.3490 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 8/200, training Loss: 0.3555 Acc: 0.9564, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 9/200, training Loss: 0.3499 Acc: 0.9616, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 10/200, training Loss: 0.3476 Acc: 0.9648, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 11/200, training Loss: 0.3557 Acc: 0.9570, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 12/200, training Loss: 0.3527 Acc: 0.9596, validation Loss: 0.3211 Acc: 0.9922, Time 0m 58s
Epoch 13/200, training Loss: 0.3531 Acc: 0.9609, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 14/200, training Loss: 0.3518 Acc: 0.9603, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 15/200, training Loss: 0.3458 Acc: 0.9661, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 16/200, training Loss: 0.3494 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 17/200, training Loss: 0.3515 Acc: 0.9616, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 18/200, training Loss: 0.3488 Acc: 0.9622, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 19/200, training Loss: 0.3500 Acc: 0.9635, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 20/200, training Loss: 0.3490 Acc: 0.9642, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 21/200, training Loss: 0.3518 Acc: 0.9596, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 22/200, training Loss: 0.3456 Acc: 0.9674, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 23/200, training Loss: 0.3479 Acc: 0.9648, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 24/200, training Loss: 0.3510 Acc: 0.9616, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 25/200, training Loss: 0.3517 Acc: 0.9596, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 26/200, training Loss: 0.3499 Acc: 0.9635, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 27/200, training Loss: 0.3480 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 28/200, training Loss: 0.3486 Acc: 0.9655, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 29/200, training Loss: 0.3501 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 30/200, training Loss: 0.3502 Acc: 0.9609, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 31/200, training Loss: 0.3479 Acc: 0.9661, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 32/200, training Loss: 0.3540 Acc: 0.9570, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 33/200, training Loss: 0.3491 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 34/200, training Loss: 0.3462 Acc: 0.9661, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 35/200, training Loss: 0.3497 Acc: 0.9635, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 36/200, training Loss: 0.3452 Acc: 0.9668, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 37/200, training Loss: 0.3484 Acc: 0.9648, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 38/200, training Loss: 0.3483 Acc: 0.9648, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 39/200, training Loss: 0.3508 Acc: 0.9622, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 40/200, training Loss: 0.3513 Acc: 0.9603, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 41/200, training Loss: 0.3478 Acc: 0.9642, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 42/200, training Loss: 0.3475 Acc: 0.9635, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 43/200, training Loss: 0.3483 Acc: 0.9648, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 44/200, training Loss: 0.3515 Acc: 0.9603, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 45/200, training Loss: 0.3536 Acc: 0.9583, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 46/200, training Loss: 0.3483 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 47/200, training Loss: 0.3495 Acc: 0.9629, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 48/200, training Loss: 0.3512 Acc: 0.9616, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 49/200, training Loss: 0.3517 Acc: 0.9596, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 50/200, training Loss: 0.3567 Acc: 0.9564, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 51/200, training Loss: 0.3516 Acc: 0.9603, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 52/200, training Loss: 0.3493 Acc: 0.9635, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 53/200, training Loss: 0.3499 Acc: 0.9622, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 54/200, training Loss: 0.3465 Acc: 0.9661, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 55/200, training Loss: 0.3508 Acc: 0.9622, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 56/200, training Loss: 0.3533 Acc: 0.9583, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
Epoch 57/200, training Loss: 0.3501 Acc: 0.9616, validation Loss: 0.3211 Acc: 0.9922, Time 0m 57s
